amfi_code,sharpe_ratio,sortino_ratio
148567,1.4482911703262595,2.385644373368818
120843,1.3067439695428407,2.364320032166718
148569,1.2349300257743296,2.1469139263460555
119551,1.2082665673727175,2.140267129061793
120505,1.1801011976606495,2.0293529404657464
149323,1.1321218524747245,1.875101063919208
100033,1.0936987435346308,1.8291339615146942
118632,1.0816591793457044,1.8501325468557264
101206,1.0272133278753697,1.7995628746984524
120504,1.0265242847993004,1.8052937940992548
119094,0.9982309868636414,1.7037974802463003
119552,0.9532794968660103,1.609776489628308
149324,0.9497958246616031,1.619793176491409
119598,0.9453082575156093,1.6753165700125516
148568,0.9262873467360146,1.6327409778735162
102885,0.8170993373494368,1.4357420130649492
120503,0.7979728586052847,1.3379431500669237
125497,0.7757902498211207,1.3306512447571366
118635,0.6648569985490619,1.137976718780742
120506,0.6488787755249532,1.0958951614736467
118633,0.6452074382933215,1.1544757169236237
102887,0.6195175900829828,1.0887552508030014
120507,0.4957233929533124,1.0521238822609293
120841,0.49427253786723496,0.8625738849916581
149322,0.4640374492204777,0.7621288703723165
118634,0.4484340089089914,0.7460146308533572
125498,0.3006119210425478,0.508812819716923
101207,0.1626607692864677,0.27664379626092334
119093,0.12961449795669325,0.22108683979276347
120842,0.07599984804658917,0.12469346986475664
119092,0.030784850954585913,0.05257398559304797
119599,-0.05718662582817997,-0.09438726129459607
119095,-0.07597357117478923,-0.12818559275851932
120844,-0.08874729621557331,-0.1877230477424232
100016,-0.2015170675596694,-0.35104746015230903
102886,-0.20583160785470314,-0.34722230254727277
119120,-0.22657538662791596,-0.3767670081706672
118636,-0.356629507514368,-0.6135251287271027
100025,-0.5670947928476847,-0.9418212366054207
101208,-0.8155673679088278,-1.6810378667512837
